row_id,category,priority,source,text_sha256,text_len_chars,text_len_words
0,وقت الانتظار,متوسطة,production,cad9a2275bfe3956,36,7
1,جودة الطعام,متوسطة,production,f46a3c8723c3217a,54,11
2,جودة الطعام,منخفضة,production,e0c5da148325b530,203,37
3,جودة الطعام,متوسطة,production,a8fc033391f3c19d,1903,361
4,جودة الطعام,متوسطة,production,b778473f4c0d6c53,158,27
5,جودة الطعام,منخفضة,production,b4d21d27c31595f4,303,53
6,السعر والقيمة,منخفضة,production,ca1e90b8ce9d0791,228,45
7,جودة الطعام,منخفضة,production,8f201d25aea25d28,273,46
8,جودة الطعام,متوسطة,production,afd275bc4d5a11a4,44,8
9,جودة الطعام,متوسطة,production,3d0d2d79aeedef4c,35,7
10,السعر والقيمة,متوسطة,production,d30b1f3ad5ea358b,67,14
11,جودة الطعام,منخفضة,production,80277bf4dc03528f,187,32
12,جودة الطعام,منخفضة,production,b23647c3badc2c3d,275,54
13,جودة الطعام,عالية,production,3e9b45c9d7d3d2f5,688,124
14,السعر والقيمة,عالية,production,52da00ab51b816a8,51,9
15,خدمة الموظفين,منخفضة,production,23a6d0f4329bb239,114,19
16,جودة الطعام,منخفضة,production,53a9ad8ffec1a2ca,65,10
17,جودة الطعام,منخفضة,production,9d6e6ef649f33c11,170,27
18,خدمة الموظفين,متوسطة,production,fd388850f12b9afe,38,7
19,جودة الطعام,منخفضة,production,95c3327b7b1be869,178,26
20,الجو والمكان,متوسطة,res1,c1d92eb38e059376,486,90
21,النظافة,متوسطة,production,fc46395c863c42d7,28,5
22,جودة الطعام,منخفضة,production,7b61e4b8b4d17b3d,218,36
23,عامة,منخفضة,production,5229653254b121bc,187,30
24,جودة الطعام,متوسطة,production,0ec08020ffc61414,461,89
25,جودة الطعام,منخفضة,production,f8044bb0569fb759,162,28
26,خدمة الموظفين,متوسطة,production,d2def42684f994d8,28,5
27,السعر والقيمة,منخفضة,production,16c3902566522b65,34,6
28,خدمة الموظفين,متوسطة,production,d551318e09fafa65,31,6
29,السعر والقيمة,متوسطة,production,8eeebc30aeb5ce72,86,17
30,جودة الطعام,منخفضة,production,94f0861b02b00113,474,74
31,جودة الطعام,منخفضة,production,fdd8490b4c95cabc,110,20
32,جودة الطعام,متوسطة,production,303e7c5f790af2ae,257,50
33,السعر والقيمة,منخفضة,production,7cf048dbf6a69194,166,34
34,خدمة الموظفين,متوسطة,production,bde928a82ed8054a,41,8
35,السعر والقيمة,متوسطة,production,5e414447985257d2,248,43
36,عامة,منخفضة,production,d061305f61b93f30,49,9
37,جودة الطعام,منخفضة,production,a81fbbe30d03ed41,47,9
38,السعر والقيمة,منخفضة,production,0db98bd4f442e56a,77,14
39,جودة الطعام,منخفضة,production,828b4fe1f0ffaa26,125,22
40,جودة الطعام,عالية,production,a3d0fee15527762e,117,24
41,خدمة الموظفين,متوسطة,production,8e0297a07b10528f,52,9
42,خدمة الموظفين,منخفضة,production,7a4832c2ae177c01,119,20
43,جودة الطعام,منخفضة,production,bc19194f2ba4cf3f,124,23
44,جودة الطعام,متوسطة,production,963250a24922180c,124,24
45,جودة الطعام,منخفضة,production,489a447751ea6a31,183,32
46,جودة الطعام,منخفضة,production,872597b0b52ecc15,99,14
47,السعر والقيمة,منخفضة,production,e6364b712881d7f8,320,57
48,السعر والقيمة,متوسطة,production,04dd0f4c5135a7cd,135,28
49,جودة الطعام,منخفضة,production,f0644b534e5b5336,104,18
