text,gold_category,dialect,note
"الأكل بايخ ومش لذيذ خالص","جودة الطعام",egyptian,Egyptian intensifier 'خالص'
"الويتر متعصب ومش بيرد","خدمة الموظفين",egyptian,'بيرد' Egyptian present-tense
"السعر فالصو وش ده غالي اوي","السعر والقيمة",egyptian,'فالصو' / 'اوي' Egyptian
"المكان وسخ والترابيزات مش متمسوحه","النظافة",egyptian,'ترابيزات' Egyptian for tables
"اتاخر التوصيل ساعتين والاكل وصل بارد","التوصيل",egyptian,Egyptian colloquial
"طلبت كاتشاب جانبي ومجاش","دقة الطلب",egyptian,Egyptian
"استنيت ساعتين قدام المطعم","وقت الانتظار",egyptian,'استنيت' Egyptian past-tense wait
"تجربه وحشه مش هرجع","عامة",egyptian,'وحشه' / 'مش هرجع' Egyptian
"الاكل بشع جدا وما بيتاكلش","جودة الطعام",egyptian,
"المندوب اخد على نفسه ساعة","التوصيل",egyptian,
"الاكل مش طعمو منيح","جودة الطعام",levantine,'منيح' Levantine for good
"الجارسون ما رد عليي","خدمة الموظفين",levantine,'الجارسون' / 'عليي' Levantine
"الأسعار غالية كتير ما تستاهل","السعر والقيمة",levantine,'كتير' Levantine
"المكان مش نضيف والطاولات وسخة","النظافة",levantine,
"المعتمر ما وصلني الطلب","التوصيل",levantine,Lebanese variant
"طلبت من غير بصل وحطلي بصل","دقة الطلب",levantine,
"استنيت ساعتين متلبكة","وقت الانتظار",levantine,
"تجربة كتير سيئة ولا بدي ارجع","عامة",levantine,'بدي' Levantine
"الزحمة كتيرة والطعمة مش زاكية","جودة الطعام",levantine,
"التوصيل تأخر مرتين وما خبروني","التوصيل",levantine,
"الطعام لذيذ جدا والنكهات مميزة","جودة الطعام",msa,Pure MSA — no dialect
"الأسعار مرتفعة ولا تتناسب مع الجودة","السعر والقيمة",msa,
"المطعم نظيف للغاية ومرتب","النظافة",msa,
"الموظفون متعاونون والخدمة سريعة","خدمة الموظفين",msa,Reversed sentiment — model should still classify category
"وصل الطلب متأخراً والطعام بارد","التوصيل",msa,
"الطلب كان ناقصاً عناصر متعددة","دقة الطلب",msa,
"انتظرت أكثر من ساعة قبل تقديم الطعام","وقت الانتظار",msa,
"تجربتي في هذا المطعم مخيبة للآمال","عامة",msa,
"الأطباق مقدمة بشكل أنيق والنكهات متوازنة","جودة الطعام",msa,Positive review (model should still pick food)
"المندوب وصل في الوقت المحدد بدون تأخير","التوصيل",msa,
"الاكل خايس مرة","جودة الطعام",saudi,Saudi baseline (already in train)
"المطعم زفت ما يستاهل","عامة",saudi,Saudi baseline
"النظافه قليله والطاولات وسخه","النظافة",saudi,Saudi baseline
