id,weak_label,ambience_subtype,ambience_subtype_all,contains_ambience_keyword,is_hard_negative,risk_keyword,high_precision_hits,single_token_hits,hard_negative_hits,score,review_status,notes,label_confidence
HARD:69,hard_negative_candidate,parking,parking,True,True,,,المواقف,الموظفه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:73,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,المخدات,الموظفين,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:79,hard_negative_candidate,noise_music,noise_music,True,True,,,ازعاج,ما اهتم | ما اهتمت,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:96,hard_negative_candidate,parking,parking,True,True,,,مواقف,الطعام,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:99,hard_negative_candidate,decor_furniture,decor_furniture | parking,True,True,,,الديكور | المواقف,جاهز,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:100,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,المخدات,الاكل,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:102,hard_negative_candidate,,,False,True,,,,مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:124,hard_negative_candidate,decor_furniture,decor_furniture | lighting,True,True,الارضيه,,الارضيه | الاضاءه | النور,الاكل,3.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:140,hard_negative_candidate,smell,decor_furniture | seating_comfort | bathroom_facilities | smell | general_place_vibe | noise_music,True,True,رائحه | قديم,,الاثاث | الطاولات | المغسله | رائحه | قديم | مزعج | مغسله,السعر | مبالغ فيه,7.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:147,hard_negative_candidate,parking,parking,True,True,,,مواقف,مبالغ فيه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:153,hard_negative_candidate,,,False,True,,,,غاليه | مبالغ فيه | مبالغ فيها,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:155,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,الاثاث,الاسعار | مبالغ فيه | مبالغ فيها,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:156,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المكان,,المكان | ضيق,السعر,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:160,hard_negative_candidate,,,False,True,,,,الموظفين | مبالغ فيه | مبالغ فيها,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:168,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المكان,,المكان | ضيقه,مبالغ فيه | مبالغ فيها,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:188,hard_negative_candidate,temperature_ac,temperature_ac,True,True,,,التكييف,السعر,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:193,hard_negative_candidate,,,False,True,,,,مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:198,hard_negative_candidate,smell,decor_furniture | smell,True,True,رائحه,,الاثاث | رائحه,مبالغ فيه,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:218,hard_negative_candidate,parking,parking,True,True,,,المدخل,السعر | غالي | ما يستاهل,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:226,hard_negative_candidate,space_crowding,space_crowding,True,True,,,ضيقه,مبالغ فيه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:228,hard_negative_candidate,,,False,True,,,,السعر | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:237,hard_negative_candidate,,,False,True,,,,السعر | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:242,hard_negative_candidate,,,False,True,,,,السعر | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:247,hard_negative_candidate,parking,parking,True,True,,,مواقف,مبالغ فيه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:250,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,قديم,,قديم | كئيب | متهالك,محروق,3.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:254,hard_negative_candidate,parking,parking,True,True,,,مواقف,الموظف,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:259,hard_negative_candidate,parking,parking,True,True,,,المواقف | مواقف,السعر | الموظف | انتظرت,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:263,hard_negative_candidate,parking,parking | general_place_vibe,True,True,قديم,,الدخول | قديم,السعر | مبالغ فيه,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:275,hard_negative_candidate,decor_furniture,decor_furniture | parking | general_place_vibe,True,True,قديم,الاثاث قديم,الاثاث | المواقف | قديم,الموظفين,5.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:291,hard_negative_candidate,parking,parking,True,True,متسخه,,مواقف,طلبات,1.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:305,hard_negative_candidate,outdoor_view,outdoor_view | general_place_vibe,True,True,المكان,,اطلاله | المكان,الموظفين,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:326,hard_negative_candidate,parking,parking,True,True,,,الدخول | مواقف,السعر,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:348,hard_negative_candidate,noise_music,noise_music | decor_furniture | lighting | space_crowding | parking,True,True,الارضيه,,ازعاج | الارضيه | الاضاءه | ضيق | مواقف,الموظف,5.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:385,hard_negative_candidate,space_crowding,space_crowding,True,True,,,واسع,خطا,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:403,hard_negative_candidate,noise_music,noise_music,True,True,,,ازعاج,السعر,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:413,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe,True,True,قديم,الاثاث قديم,قديم,صراصير,3.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:422,hard_negative_candidate,noise_music,noise_music | parking,True,True,,,ازعاج | الاغاني | مواقف,الاكل,3.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:424,hard_negative_candidate,noise_music,noise_music,True,True,,,ازعاج,السعر,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:438,hard_negative_candidate,,,False,True,,,,تاخر الطلب,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:443,hard_negative_candidate,noise_music,noise_music,True,True,,,ازعاج,خطا,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:453,hard_negative_candidate,noise_music,noise_music,True,True,,,ازعاج,السعر | مبالغ فيه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:474,hard_negative_candidate,bathroom_facilities,bathroom_facilities | parking,True,True,,,مغسله | موقف,الاكل | التوصيل,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:476,hard_negative_candidate,parking,parking,True,True,,,موقف,السعر,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:489,hard_negative_candidate,temperature_ac,decor_furniture | temperature_ac,True,True,الارضيه,,الارضيه | التكييف,الشاورما,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:497,hard_negative_candidate,bathroom_facilities,bathroom_facilities,True,True,,,مغسله,غاليه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:509,hard_negative_candidate,temperature_ac,decor_furniture | temperature_ac,True,True,,,الاثاث | التكييف,السعر,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:513,hard_negative_candidate,,,False,True,,,,غير محترم,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:530,hard_negative_candidate,lighting,lighting,True,True,,اضاءه خافته,,ما يستاهل,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:548,hard_negative_candidate,seating_comfort,seating_comfort,True,True,,,الكنب,مبالغ فيه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:551,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المكان,,المكان,الاسعار | مبالغ فيه | مبالغ فيها,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak
HARD:579,hard_negative_candidate,parking,parking,True,True,,,الدخول,الموظفين,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:603,hard_negative_candidate,parking,parking,True,True,,,مواقف,غالي,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:638,hard_negative_candidate,parking,parking | seating_comfort | space_crowding,True,True,,,الدخول | الكنب | وسع,انتظرنا,3.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:647,hard_negative_candidate,parking,general_place_vibe | parking,True,True,المكان,,المكان | موقف,انتظرت,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
HARD:650,hard_negative_candidate,decor_furniture,decor_furniture | parking | space_crowding,True,True,,,الاثاث | المواقف | ضيقه | وسع,الطعام,4.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak
