source_label,text
خدمة_عملاء,تواصلت مع خدمة العملاء عدة مرات ولم يحل أحد مشكلتي حتى الآن
خدمة_عملاء,موظف خدمة العملاء كان غير محترم في تعامله معي
خدمة_عملاء,انتظرت على الخط الساخن أكثر من ساعة ولم يرد أحد
خدمة_عملاء,الردود التي تلقيتها من فريق الدعم كانت غير مفيدة تماماً
خدمة_عملاء,لم أتلق أي رد على رسالتي الإلكترونية منذ أسبوع كامل
خدمة_عملاء,طلبت التحدث مع المشرف لكن لم يتوفر أحد
خدمة_عملاء,تم إغلاق تذكرة الشكوى دون حل المشكلة
خدمة_عملاء,الموظف وعدني بالمتابعة لكنه لم يتصل بي أبداً
خدمة_عملاء,لا يوجد رقم للتواصل المباشر مع الدعم الفني
خدمة_عملاء,أرسلت ثلاث رسائل للدعم ولم أتلق أي رد منهم
خدمة_عملاء,فريق خدمة العملاء لا يفهم المشكلة التي أعاني منها
خدمة_عملاء,طلبت الاسترداد عبر خدمة العملاء لكنهم رفضوا طلبي
خدمة_عملاء,لا يوجد خاصية الدردشة المباشرة للتواصل السريع
خدمة_عملاء,أُغلق الخط في وجهي أثناء محادثتي مع الموظف
خدمة_عملاء,الوقت المتوقع للرد على الشكاوى طويل جداً ولا يُحتمل
خدمة_عملاء,طلبت تعويضاً عن الخطأ لكن الموظف رفض الاستماع
خدمة_عملاء,خدمة العملاء متاحة فقط خلال ساعات محدودة جداً
خدمة_عملاء,لم يستطع الموظف الإجابة على أبسط أسئلتي
خدمة_عملاء,تم تحويلي بين عدة موظفين دون حل المشكلة
خدمة_عملاء,الموظف وعدني بحل المشكلة خلال 24 ساعة لكن مضت 3 أيام
خدمة_عملاء,لا يوجد متابعة فعلية بعد تقديم الشكوى
خدمة_عملاء,رسالة الرد الآلي لا تفيد في حل أي مشكلة
خدمة_عملاء,طلبت إلغاء الطلب لكن الموظف قال إنه لا يستطيع المساعدة
خدمة_عملاء,تواصلت عبر وسائل التواصل الاجتماعي ولم أتلق رداً
خدمة_عملاء,خدمة العملاء لا تعمل في عطلات نهاية الأسبوع
شحن_وتوصيل,وصل الطلب مكسوراً بسبب سوء التغليف
شحن_وتوصيل,تم إرسال طلبي إلى عنوان خاطئ
شحن_وتوصيل,المنتج وصل به تلف واضح أثناء الشحن
شحن_وتوصيل,حالة الشحنة تقول تم التسليم لكنني لم أستلم شيئاً
شحن_وتوصيل,الطرد وصل مفتوحاً ومحتواه ناقص
شحن_وتوصيل,تم اختيار ناقل شحن غير موثوق لإرسال طلبي
شحن_وتوصيل,التغليف كان ضعيفاً ومتهالكاً
