id,weak_label,ambience_subtype,ambience_subtype_all,contains_ambience_keyword,is_hard_negative,risk_keyword,high_precision_hits,single_token_hits,hard_negative_hits,score,review_status,notes,label_confidence
HARD:5,ambience_candidate,parking,parking | lighting,True,False,,,المواقف | النور,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:19,ambience_candidate,noise_music,noise_music,True,False,,,ازعاج,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:30,ambience_candidate,outdoor_view,outdoor_view,True,False,,,الاطلاله,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:38,ambience_candidate,decor_furniture,decor_furniture,True,False,متسخ,,الاثاث,,1.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:45,ambience_candidate,decor_furniture,decor_furniture,True,False,,,الاثاث,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:48,ambience_candidate,parking,parking,True,False,,,المواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:56,ambience_candidate,parking,parking,True,False,,,مواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:62,ambience_candidate,temperature_ac,temperature_ac,True,False,عالي,,التكييف,,1.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:63,ambience_candidate,lighting,lighting,True,False,,,النور,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:64,ambience_candidate,lighting,lighting,True,False,,,الاضاءه,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:67,ambience_candidate,decor_furniture,decor_furniture | parking,True,False,,,الاثاث | مواقف,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:70,ambience_candidate,decor_furniture,decor_furniture,True,False,,,المخدات,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:80,ambience_candidate,noise_music,noise_music | parking,True,False,,,ازعاج | المواقف,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:86,ambience_candidate,lighting,lighting,True,False,,,النور,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:87,ambience_candidate,parking,parking,True,False,,,المواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:90,ambience_candidate,parking,parking,True,False,,,المواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:113,ambience_candidate,noise_music,noise_music,True,False,,,ازعاج,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:117,ambience_candidate,decor_furniture,decor_furniture,True,False,,,الديكور,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:118,ambience_candidate,bathroom_facilities,bathroom_facilities,True,False,,,مغسله,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:122,ambience_candidate,parking,parking,True,False,,,الطلعه | موقف,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:129,ambience_candidate,lighting,lighting,True,False,,,الاضاءه,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:131,ambience_candidate,parking,parking,True,False,,,المواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:132,ambience_candidate,parking,parking,True,False,,,مواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:136,ambience_candidate,decor_furniture,decor_furniture | general_place_vibe,True,False,المكان,,الفرش | المكان,,2.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:137,ambience_candidate,space_crowding,space_crowding,True,False,,,ضيقه,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:144,ambience_candidate,space_crowding,space_crowding | general_place_vibe,True,False,قديم,,ضيق | قديم,,2.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:146,ambience_candidate,general_place_vibe,general_place_vibe,True,False,,,الجو,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:158,ambience_candidate,space_crowding,space_crowding,True,False,,,ضيق,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:161,ambience_candidate,decor_furniture,decor_furniture | general_place_vibe,True,False,قديم,الاثاث قديم,الاثاث | قديم,,4.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:164,ambience_candidate,bathroom_facilities,bathroom_facilities,True,False,,,المغاسل | مغسله,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:165,ambience_candidate,noise_music,noise_music,True,False,,,ازعاج,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:171,ambience_candidate,decor_furniture,decor_furniture | general_place_vibe,True,False,قديم,الاثاث قديم,الاثاث | قديم,,4.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:173,ambience_candidate,temperature_ac,seating_comfort | temperature_ac,True,False,قديمه | وسخ,,الكنب | المكيف,,2.6,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:177,ambience_candidate,general_place_vibe,general_place_vibe,True,False,,,شرح,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:179,ambience_candidate,space_crowding,space_crowding,True,False,,,ضيقه,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:181,ambience_candidate,noise_music,noise_music,True,False,عاليه,,ازعاج | اصوات,,2.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:182,ambience_candidate,temperature_ac,temperature_ac | parking,True,False,,,التكييف | موقف,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:207,ambience_candidate,parking,parking | space_crowding,True,False,,,الدخول | ضيق,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:224,ambience_candidate,noise_music,noise_music,True,False,,,اصوات | صراخ,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:230,ambience_candidate,noise_music,noise_music | space_crowding,True,False,,,ازعاج | ضيقه,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:239,ambience_candidate,parking,parking | noise_music,True,False,,,المدخل | مزعج,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:244,ambience_candidate,bathroom_facilities,general_place_vibe | bathroom_facilities,True,False,,,الجو | المغسله,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:245,ambience_candidate,noise_music,noise_music,True,False,,,اصوات,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:252,ambience_candidate,parking,parking,True,False,,,المواقف,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
HARD:253,ambience_candidate,decor_furniture,decor_furniture | general_place_vibe,True,False,قديم,الاثاث قديم,قديم,,3.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak
