id,weak_label,ambience_subtype,ambience_subtype_all,contains_ambience_keyword,is_hard_negative,risk_keyword,high_precision_hits,single_token_hits,hard_negative_hits,score,review_status,notes,label_confidence,polarity
hadyelsahar/ar_res_reviews:3,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البطاطس | الدجاج,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:4,review_needed,temperature_ac,seating_comfort | general_place_vibe | temperature_ac,True,False,الطاوله | المطعم | بارد | زيت | قديم,,الطاوله | المطعم | بارد | قديم,الخبز | الطعم | الفاتوره | طعمها | ناقص,5.5,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:5,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:6,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الاسعار,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:9,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:13,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم | المكان,,المطعم | المكان,الخبز | الدجاج | السعر | الشاورما | غاليه,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:14,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم | المكان,,المطعم | المكان,الاسعار | اللحم,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:20,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:22,review_needed,temperature_ac,general_place_vibe | temperature_ac,True,False,المطعم | بارد | بارده,,المطعم | بارد,الاكل | البطاطس | الطعام,2.9,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:23,review_needed,,,False,False,بارده,,,,0.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:25,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الخبز | الوجبه,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:26,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:37,review_needed,temperature_ac,general_place_vibe | temperature_ac,True,False,المطعم | حار,,المطعم | حار,الخبز | غالي,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:41,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الاكل | البرجر | النكهه,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:46,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,اللحم,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:49,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:50,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,غالي,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:53,review_needed,smell,smell,True,False,ريحه,,ريحه,الاكل | البرجر | اللحمه,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:56,review_needed,smell,smell,True,False,ريحه,,ريحه,الدجاج,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:60,review_needed,,,False,False,عاليه,,,الدجاج | الطعم,0.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:61,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البطاطس,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:63,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:75,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم | زيت,,المطعم,البرجر | طعمه,1.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:79,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:83,review_needed,general_place_vibe,general_place_vibe,True,False,المكان,,المكان,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:87,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الاكل,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:94,review_needed,temperature_ac,general_place_vibe | temperature_ac,True,False,المطعم | بارد,,المطعم | بارد,,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:97,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:100,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الخبز | الدجاج | غالي,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:101,review_needed,general_place_vibe,general_place_vibe,True,False,الفرع,,الفرع,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:102,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الخبز | الدجاج | الساندويتش | السعر | اللحم,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:104,review_needed,general_place_vibe,general_place_vibe,True,False,المكان,,المكان,الاسعار | البرجر | الدجاج,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:110,review_needed,general_place_vibe,general_place_vibe,True,False,المحل | المطعم,,المحل | المطعم,الاكل | الدجاج,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:113,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم | زيت,,المطعم,البرجر | الخبز | الطعم,1.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:116,review_needed,,,False,False,بارده,,,الخبز,0.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:117,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم | بارده,,المطعم,الساندويتش | الطعم,1.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:120,review_needed,general_place_vibe,general_place_vibe,True,False,الفرع,,الفرع,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:131,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:133,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:134,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البطاطس | الدجاج,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:135,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:141,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:152,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البيتزا,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:159,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,انتظرت,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:160,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الارز | الاكل,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:162,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:165,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:167,review_needed,general_place_vibe,general_place_vibe,True,False,المكان | عالي,,المكان,الدجاج,1.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:169,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الدجاج | الرز | الطعام,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:171,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البيتزا,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:176,review_needed,seating_comfort,seating_comfort | general_place_vibe,True,False,الطاوله | المطعم,,الطاوله | المطعم,الاكل | البيتزا,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:177,review_needed,general_place_vibe,general_place_vibe,True,False,الفرع,,الفرع,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:178,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:180,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البيتزا,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:181,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:185,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:188,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الطعام,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:195,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الاكل | الطعم,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:200,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البيتزا,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:201,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,البيتزا,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:216,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:218,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:221,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الاكل | التوصيل | حشره | خطا,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:223,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:225,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الخبز,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:228,review_needed,general_place_vibe,general_place_vibe,True,False,المطعم,,المطعم,الطعم | الموظفين | طلبات | غاليه,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
