id,weak_label,ambience_subtype,ambience_subtype_all,contains_ambience_keyword,is_hard_negative,risk_keyword,high_precision_hits,single_token_hits,hard_negative_hits,score,review_status,notes,label_confidence,polarity
hadyelsahar/ar_res_reviews:16,ambience_candidate,general_place_vibe,general_place_vibe,True,False,المطعم,,اجواء | المطعم,,2.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:40,ambience_candidate,smell,seating_comfort | general_place_vibe | smell | noise_music,True,False,الطاوله | المطعم | المكان | رائحه,,الطاوله | المطعم | المكان | رائحه | مزعج,البطاطس | الطعم | الموظفين,6.2,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:59,ambience_candidate,smell,general_place_vibe | smell,True,False,المطعم | ريحه,,المطعم | ريحه,الاسعار | البرجر | اللحم | اللحمه,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:77,ambience_candidate,smell,smell | seating_comfort | general_place_vibe | space_crowding,True,False,المكان | ريحه | زيت,ريحه المكان,الجلسات | المكان | ريحه | مكتوم,اللحم,6.9,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:78,ambience_candidate,smell,general_place_vibe | smell,True,False,المطعم | رائحه,,المطعم | رائحه,الاكل | البرجر,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:111,ambience_candidate,smell,general_place_vibe | smell,True,False,المطعم | ريحه,,المطعم | ريحه,الاكل | البرجر | غالي,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:173,ambience_candidate,smell,general_place_vibe | smell,True,False,المحل | رائحه,,المحل | رائحه,الدجاج,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:182,ambience_candidate,space_crowding,space_crowding,True,False,,,هادي,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:189,ambience_candidate,temperature_ac,temperature_ac,True,False,,المكيف خربان | مكيف خربان,,,4.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,0
hadyelsahar/ar_res_reviews:205,ambience_candidate,space_crowding,space_crowding,True,False,,,زحمه,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:281,ambience_candidate,seating_comfort,seating_comfort,True,False,,,الجلسات,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,0
hadyelsahar/ar_res_reviews:317,ambience_candidate,temperature_ac,general_place_vibe | temperature_ac,True,False,المطعم | زيت,,المطعم | حراره,,2.6,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:328,ambience_candidate,smell,general_place_vibe | smell,True,False,المطعم | رائحه,,المطعم | رائحه,اللحم,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:329,ambience_candidate,smell,seating_comfort | general_place_vibe | smell | space_crowding,True,False,الفرع | المطعم | المكان | رائحه,,الجلسات | الفرع | المطعم | المكان | رائحه | ضيق,الاسعار | الاكل | البطاطس,7.2,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:334,ambience_candidate,smell,general_place_vibe | smell,True,False,الفرع | المطعم | ريحه | زيت,,الفرع | المطعم | ريحه,الاكل,4.2,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:340,ambience_candidate,seating_comfort,seating_comfort,True,False,,,الجلسات,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:364,ambience_candidate,smell,general_place_vibe | smell,True,False,المطعم | رائحه,,المطعم | رائحه,البيتزا,2.6,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:386,ambience_candidate,smell,smell,True,False,ريحه,,ريحه,البيتزا | الدجاج | السلطه | الفاتوره | صراصير,1.3,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,0
hadyelsahar/ar_res_reviews:422,ambience_candidate,outdoor_view,general_place_vibe | outdoor_view | space_crowding,True,False,المطعم | برا,,المطعم | برا | زحمه,,3.6,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:452,ambience_candidate,noise_music,noise_music | general_place_vibe,True,False,,,ازعاج | الجو,,2.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,0
hadyelsahar/ar_res_reviews:454,ambience_candidate,temperature_ac,temperature_ac,True,False,بارد,,التكييف | بارد,,2.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:468,ambience_candidate,seating_comfort,seating_comfort,True,False,,,ساتر,,1.0,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,1
hadyelsahar/ar_res_reviews:479,ambience_candidate,smell,general_place_vibe | smell,True,False,المطعم | رائحه | عالي,,المطعم | رائحه,الاكل | البطاطس | التوصيل | الدجاج | اللحم,2.9,unreviewed,only ambiguous risky tokens present - needs human judgment,weak,1
hadyelsahar/ar_res_reviews:485,ambience_candidate,temperature_ac,temperature_ac,True,False,زيت,,ثلج,,1.3,unreviewed,"ambience phrase/token present, no hard-negative cue",weak,0
