id,weak_label,ambience_subtype,ambience_subtype_all,contains_ambience_keyword,is_hard_negative,risk_keyword,high_precision_hits,single_token_hits,hard_negative_hits,score,review_status,notes,label_confidence,polarity
hadyelsahar/ar_res_reviews:17,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم | عاليه,,الجلسه | المطعم,الاكل | الخبز,2.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:27,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe | space_crowding,True,True,المطعم,,الطاولات | المطعم | طاوله | مزدحم,البرجر | الطعم | اللحم,4.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:32,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المطعم | المكان,,المطعم | المكان | مزدحم,الاسعار | البرجر,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:33,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم,,الكراسي | المطعم,البرجر | الطعام | الموظفين,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:34,hard_negative_candidate,privacy,privacy | general_place_vibe,True,True,المكان,قسم العوائل,المكان,الاكل | البرجر | بدون صوص,3.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:38,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,الفرع | المطعم,,الجلسات | الفرع | المطعم,الخبز | اللحم,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:47,hard_negative_candidate,smell,smell | general_place_vibe | seating_comfort,True,True,الفرع | ريحه | زيت,ريحه زيت,الجو | الطاولات | الفرع | ريحه,الطعم,6.9,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:48,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم,,الكراسي | المطعم,البرجر | الطعام | الموظفين,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:62,hard_negative_candidate,privacy,privacy,True,True,,,عوائل,الاسعار | البطاطس | الخبز | الطعم | طعمه | غاليه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:92,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المكان | زيت,المكان كئيب,المكان | كئيب,الاسعار | البطاطس | اللحم | الموظفين | انتظرت,4.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:106,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المطعم,,المطعم,الدجاج | السعر | الطعم | ما طلبنا | مبالغ فيه,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:115,hard_negative_candidate,temperature_ac,temperature_ac,True,True,بارد,,بارد,الاكل | الطعم | الاكل بارد,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:118,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,الديكور,الطعم,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:125,hard_negative_candidate,temperature_ac,general_place_vibe | temperature_ac,True,True,المحل,,المحل | حراره,الاكل | السندويش,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:138,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe,True,True,المطعم,,الديكور | المطعم,الاكل,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:140,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المطعم,,المطعم | مزدحم,الدجاج | الموظفين,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:144,hard_negative_candidate,outdoor_view,outdoor_view | seating_comfort | general_place_vibe,True,True,الطاوله | المطعم,جلسات خارجيه,الطاوله | المطعم,البيتزا | النادل,4.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:145,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم,,القعده | المطعم,الاكل | الطعم,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:148,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المكان,,المكان,ما طلبنا,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:149,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,,,الجو,الاسعار | الطعام,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:170,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المحل | المطعم,,الجو | المحل | المطعم,البيتزا | الطعم,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:192,hard_negative_candidate,temperature_ac,general_place_vibe | temperature_ac,True,True,المحل | حار | زيت,,المحل | ثلج | حار,البطاطس | البيتزا | السلطه,3.9,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:197,hard_negative_candidate,privacy,privacy | seating_comfort | general_place_vibe | space_crowding,True,True,الطاوله | الفرع,قسم العوائل,الطاوله | الفرع | زحمه | ضيق,البيتزا | الطعام,6.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:198,hard_negative_candidate,,,False,True,,,,البيتزا | السعر | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:222,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المحل,,المحل,الساندويتش | السعر | مبالغ فيه,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:227,hard_negative_candidate,decor_furniture,decor_furniture | seating_comfort,True,True,الارضيه,,الارضيه | الطاولات,غاليه,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:262,hard_negative_candidate,temperature_ac,general_place_vibe | temperature_ac | parking,True,True,المطعم | حار,,المطعم | ثلج | حار | موقف,التوصيل,4.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:271,hard_negative_candidate,temperature_ac,temperature_ac | general_place_vibe,True,True,بارد | قديم,,بارد | قديم,الاكل | الاكل بارد,2.6,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:284,hard_negative_candidate,,,False,True,,,,الدجاج | غالي | ما طلبت,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:287,hard_negative_candidate,,,False,True,,,,الاسعار | البطاطس | مبالغ فيها | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:288,hard_negative_candidate,,,False,True,,,,الاسعار | مبالغ فيها | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:296,hard_negative_candidate,temperature_ac,temperature_ac,True,True,,,ثلج,الطعم,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:300,hard_negative_candidate,,,False,True,,,,السعر | الطعم | الوجبه | طعمها | غالي | ما يستاهل,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:304,hard_negative_candidate,,,False,True,,,,ما طلبت,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:316,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم | المكان,,الجلسات | المطعم | المكان,الطعام,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:321,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe | space_crowding,True,True,المطعم | حاره,,الديكور | المطعم | ضيق,الاكل,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:324,hard_negative_candidate,decor_furniture,decor_furniture | seating_comfort | general_place_vibe,True,True,الطاوله | المطعم | المكان | قديم,الديكور قديم,الديكور | الطاوله | المطعم | المكان | قديم,السندويش | الطعم,8.2,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:326,hard_negative_candidate,noise_music,general_place_vibe | noise_music,True,True,الفرع | المطعم,,الفرع | المطعم | مزعج,الاكل,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:327,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,الفرع | عاليه,,الفرع | مزدحم,الساندويتش | الفاتوره | اللحم,2.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:352,hard_negative_candidate,noise_music,noise_music | privacy | bathroom_facilities,True,True,,ما نسمع بعض | قسم العوائل,ازعاج | المغسله,السعر | غاليه,6.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:353,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,الديكور,الاسعار | مبالغ فيها | مبالغ فيه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:355,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المحل | المكان,,الجو | المحل | المكان,الاسعار | الاكل,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:366,hard_negative_candidate,,,False,True,,,,البيتزا | النكهه | مبالغ فيها | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:389,hard_negative_candidate,bathroom_facilities,bathroom_facilities,True,True,,,المغاسل,البيتزا | اللحم,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:394,hard_negative_candidate,temperature_ac,general_place_vibe | temperature_ac | space_crowding,True,True,المطعم | المكان | بارد | حار,,الجو | المطعم | المكان | بارد | حار | زحمه,الرز | الطعم,7.2,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:402,hard_negative_candidate,,,False,True,,,,غالي | ما يستاهل,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:410,hard_negative_candidate,seating_comfort,general_place_vibe | seating_comfort,True,True,المطعم | المكان,,المطعم | المكان | طاوله,البرجر | ما طلبت,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:411,hard_negative_candidate,decor_furniture,general_place_vibe | decor_furniture,True,True,المطعم,,الجو | الديكور | المطعم,الدجاج | اللحم,3.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:412,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,الديكور,الاكل,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:415,hard_negative_candidate,noise_music,noise_music | general_place_vibe | seating_comfort | parking | space_crowding,True,True,الفرع,,ازعاج | الجو | الطاولات | الطلعه | الفرع | زحمه,البرجر | الطعم,6.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:418,hard_negative_candidate,noise_music,noise_music | lighting | decor_furniture | general_place_vibe | space_crowding,True,True,,,ازعاج | الاضاءه | الديكور | رايق | زحمه,الدجاج | الطعم | غالي,5.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:421,hard_negative_candidate,noise_music,noise_music,True,True,,,اطفال,غالي,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:432,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المطعم,,المطعم,الاكل | مبالغ فيه,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:437,hard_negative_candidate,space_crowding,space_crowding,True,True,,,زحمه,الاكل,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:445,hard_negative_candidate,noise_music,noise_music | general_place_vibe,True,True,المكان,,اطفال | المكان,الاسعار | الدجاج | السلطه,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:453,hard_negative_candidate,seating_comfort,seating_comfort,True,True,,,طاوله,الدجاج,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:458,hard_negative_candidate,temperature_ac,general_place_vibe | decor_furniture | temperature_ac | noise_music,True,True,بارد,,الجو | الديكور | بارد | مزعج,الاكل | الطعام | مالح | محروق,4.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:459,hard_negative_candidate,temperature_ac,temperature_ac,True,True,بارد,,بارد,الاكل | الاكل بارد,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:464,hard_negative_candidate,temperature_ac,seating_comfort | general_place_vibe | temperature_ac,True,True,المكان | بارد,,الجلسات | المكان | بارد,الاكل | الاكل بارد,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:499,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,الديكور,الدجاج | الطعم | الوجبه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:505,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe,True,True,المطعم,,الديكور | المطعم,الاكل,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:509,hard_negative_candidate,space_crowding,space_crowding,True,True,,,زحمه,الوجبه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:553,hard_negative_candidate,noise_music,noise_music,True,True,,,اطفال,الاكل | الطعم | الوجبه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:562,hard_negative_candidate,parking,parking | general_place_vibe,True,True,المطعم,الموقع صعب,المطعم,السعر | الفاتوره,3.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:593,hard_negative_candidate,,,False,True,,,,الاكل | الدجاج | غالي | نسي | ما طلبنا,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:595,hard_negative_candidate,space_crowding,space_crowding,True,True,,,ضيق,الاكل,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:597,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم,,الجلسات | المطعم,الطعام,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:602,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المكان | زيت,,المكان,الدجاج | الطعم | النادل | مبالغ فيها | مبالغ فيه,1.6,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:605,hard_negative_candidate,noise_music,noise_music | seating_comfort | general_place_vibe | space_crowding,True,True,الطاوله | المطعم | المكان | حاره,,ازعاج | الجلسه | الجو | الطاوله | المطعم | المكان | زحمه | ضيق | موسيقي,مبالغ فيها | ما طلبنا | مبالغ فيه,10.2,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:607,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe | space_crowding,True,True,الفرع | المكان,,الديكور | الفرع | المكان | فاضي,الاسعار | الاكل | السعر | طعمه | مبالغ فيها | مبالغ فيه,4.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:651,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المطعم,,المطعم,طعمه | مبالغ فيها | مبالغ فيه,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:672,hard_negative_candidate,,,False,True,,,,مبالغ فيها | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:678,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe,True,True,المطعم | قديمه,,الديكور | المطعم,الارز,2.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:679,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المطعم,,الجلسات | المطعم,اللحم,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:682,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,المطعم,,المطعم,الاسعار | البرجر | طعمه | ما طلبت,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:683,hard_negative_candidate,noise_music,noise_music | seating_comfort | general_place_vibe,True,True,الطاوله | المطعم | المكان | عالي,صوت عالي,ازعاج | الجلسات | الطاوله | المطعم | المكان,الاكل | الطعم | طعمه,8.2,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:684,hard_negative_candidate,privacy,general_place_vibe | privacy,True,True,المطعم | بارده,,المطعم | خصوصيه,الاكل | السعر | غالي | ما يستاهل,2.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:686,hard_negative_candidate,decor_furniture,decor_furniture | general_place_vibe,True,True,المطعم,,الديكور | المطعم,الاسعار | الاكل,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:687,hard_negative_candidate,privacy,privacy | general_place_vibe,True,True,المطعم | عاليه,قسم العوائل,افراد | المطعم | عوائل,الاسعار | الاكل | البطاطس | الطعام | طعمه,5.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:690,hard_negative_candidate,outdoor_view,outdoor_view | privacy | general_place_vibe,True,True,برا | قديم,,برا | خصوصيه | قديم,الاكل | البيتزا,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:705,hard_negative_candidate,decor_furniture,decor_furniture,True,True,,,الديكور,بايخ,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:708,hard_negative_candidate,noise_music,noise_music,True,True,,,ازعاج,غالي,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:724,hard_negative_candidate,,,False,True,,,,البيتزا | بدون بصل,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:734,hard_negative_candidate,seating_comfort,seating_comfort | general_place_vibe,True,True,المكان,,الطاولات | المكان,السعر | الطعم | غالي,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:746,hard_negative_candidate,temperature_ac,general_place_vibe | temperature_ac,True,True,الفرع | المطعم,,الفرع | المطعم | المكيفات,الاكل | البيتزا | الفاتوره,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:781,hard_negative_candidate,,,False,True,,,,البيتزا | ما طلبنا,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:789,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,الفرع,,الفرع,ساعه كامله,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:854,hard_negative_candidate,temperature_ac,parking | temperature_ac,True,True,بارد | بارده,,المواقف | بارد,البطاطس | الطعم | الكاشير | اللحم | الوجبه,2.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:877,hard_negative_candidate,temperature_ac,temperature_ac,True,True,بارد | حار,,بارد | حار,الاكل | طعمها | الاكل بارد,2.6,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:903,hard_negative_candidate,temperature_ac,temperature_ac,True,True,بارد,,بارد,الاكل | الاكل بارد,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:933,hard_negative_candidate,temperature_ac,temperature_ac | smell | general_place_vibe,True,True,بارد | رائحه | زيت | قديم,,بارد | رائحه | قديم,الاكل | التوصيل | الاكل بارد,4.2,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:942,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المطعم,,المطعم | زحمه,طلبات,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:948,hard_negative_candidate,temperature_ac,temperature_ac,True,True,بارد,,بارد,الاكل | الاكل بارد,1.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:991,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,الفرع | المطعم,,الفرع | المطعم | مزدحم,الاسعار | الطعم | الوجبه,3.6,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:1018,hard_negative_candidate,seating_comfort,seating_comfort,True,True,,,الكراسي,الكاشير,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:1029,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المطعم,,المطعم | زحمه,الدجاج,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:1035,hard_negative_candidate,temperature_ac,general_place_vibe | temperature_ac,True,True,المطعم,,المطعم | ثلج,الاكل,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:1064,hard_negative_candidate,,,False,True,,,,مبالغ فيها | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,0
hadyelsahar/ar_res_reviews:1070,hard_negative_candidate,space_crowding,space_crowding,True,True,,,فاضي,الموظفين,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:1071,hard_negative_candidate,lighting,lighting,True,True,,,الاناره,الاكل,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:1089,hard_negative_candidate,,,False,True,بارده,,,مبالغ فيها | مبالغ فيه,0.3,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:1098,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,المطعم,,المطعم | فاضي,غالي,2.3,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:1113,hard_negative_candidate,,,False,True,,,,مبالغ فيها | مبالغ فيه,0.0,unreviewed,multi-word hard-negative phrase present - confirmed non-ambience,weak,1
hadyelsahar/ar_res_reviews:1115,hard_negative_candidate,parking,general_place_vibe | parking,True,True,,,الجو | المواقف,الاكل | الطعم,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:1119,hard_negative_candidate,general_place_vibe,general_place_vibe,True,True,,,الاجواء,البرجر | النكهه,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:1122,hard_negative_candidate,seating_comfort,seating_comfort,True,True,,,الطاولات,الاسعار,1.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
hadyelsahar/ar_res_reviews:1123,hard_negative_candidate,space_crowding,general_place_vibe | space_crowding,True,True,,,الاجواء | زحمه,الطعام,2.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,1
hadyelsahar/ar_res_reviews:1125,hard_negative_candidate,seating_comfort,seating_comfort | noise_music | parking,True,True,,,الجلسه | مزعج | موقف,الدجاج,3.0,unreviewed,ambience-words present alongside hard-negative cue - likely a non-ambience complaint,weak,0
