id,text,expected_label,difficulty,attack_type,notes,predicted_top,rail_categories,multi_badge_present,abstain_fired,general_fallback_fired,outcome,failure_reason,raw_html_length,is_undercredit
T252,نسوا حصة البطاطس مع الوجبه,دقة الطلب,easy,clean,missing side,جودة الطعام,جودة الطعام | دقة الطلب,True,False,False,fail,"clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام', 'دقة الطلب']",1503,True
T253,طلبت قهوه حليب وجاتني سوداء,دقة الطلب,easy,clean,wrong coffee type,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],594,False
T255,طلبت لحم ضاني وجاء دجاج,دقة الطلب,easy,clean,wrong protein,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],847,False
T261,طلبت بيتزا وسط جاءت صغيره,دقة الطلب,easy,clean,wrong pizza size,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],592,False
T264,طلبت دجاج مشوي وجاء مقلي,دقة الطلب,easy,clean,wrong cooking method,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],777,False
T269,اضاف لحم اضافي بدون ما اطلب وحسبه علي,دقة الطلب,hard,clean,extra item + charged,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],789,False
T274,جاء البرجر بدون اللحم بالكامل,دقة الطلب,easy,clean,no meat in burger,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],857,False
T283,جاءت الوجبه بدون مشروب اساسي,دقة الطلب,easy,clean,missing combo drink,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],783,False
T284,اعطاني بدل من الدجاج لحم لانه قال ما عنده دجاج,دقة الطلب,medium,clean,silent substitution,جودة الطعام,جودة الطعام | دقة الطلب,True,False,False,fail,"clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام', 'دقة الطلب']",1665,True
T285,طلبت بيتزا بدون مارجريتا فضافها,دقة الطلب,medium,clean,added unwanted item,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],598,False
T287,اعطاني فلافل بدل من شاورما لحم,دقة الطلب,easy,clean,wrong main,جودة الطعام,جودة الطعام | دقة الطلب,True,False,False,fail,"clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام', 'دقة الطلب']",1503,True
T288,نسي اعطاني صحن البقلاوه الاضافي,دقة الطلب,easy,clean,missing dessert add,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],598,False
T289,طلبت طعام حار ما اعطاني فلفل اطلاقا,دقة الطلب,easy,clean,no spice ignored,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],788,False
T291,الكاشير سجل عربي بدل اللحم,دقة الطلب,medium,clean,Arabic typo error,جودة الطعام,جودة الطعام | خدمة الموظفين | دقة الطلب,True,False,False,fail,"clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام', 'خدمة الموظفين', 'دقة الطلب']",1994,False
T294,اعطاني عصير بطعم الشمام ما طلبت ذا,دقة الطلب,easy,clean,wrong flavor,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],787,False
T295,جاءت الوجبه بدون التتبيله المطلوبه,دقة الطلب,easy,clean,missing marinade,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='دقة الطلب' got='جودة الطعام' rail=['جودة الطعام'],789,False
T460,اشكرهم على عدم اعطائي السلطه المطلوبه,دقة الطلب,hard,sarcasm,sarcasm accuracy,جودة الطعام,جودة الطعام,False,False,False,fail,sarcasm: expected='دقة الطلب' got='جودة الطعام',604,False
T500,طلبت وجبه عائليه تتضمن دجاج مشوي مع رز وسلطه ومشروبات وحلى لاربع اشخاص لكن عندما وصل الطلب اكتشفت ان نصف العناصر ناقصه فلا توجد سلطه ولا اضافات الزبده ولا الحلى المجاني المرفق مع العرض كما ان نوع الدجاج كان مقلي بدلا من مشوي والمشروبات كلها بدون ثلج رغم انني طلبتها مثلجه بشكل واضح في الملاحظات,دقة الطلب,hard,long,long accuracy-dominant,جودة الطعام,جودة الطعام | دقة الطلب,True,False,False,fail,long: expected='دقة الطلب' got='جودة الطعام',1994,True
T104,الشوكه فيها قطع طعام من زبون قبلي,النظافة,easy,clean,fork residue,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1394,False
T109,الطاوله ما تنظفت من الزبون اللي قبلنا,النظافة,easy,clean,uncleared table,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1210,False
T111,لقيت قطعه قمامه صغيره في طبق السلطه,النظافة,medium,clean,trash in salad,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1206,False
T114,سلة المهملات تطفح في زاوية الصاله,النظافة,easy,clean,overflowing trash,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1203,False
T124,المنشفه المعطره ما تنغيرت من اول صباح,النظافة,medium,clean,unchanged towel,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1208,False
T129,لقيت اظفر صغير في وسط البرجر,النظافة,hard,clean,nail in burger,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1386,False
T131,الكاتشب علبتها لزجه من خارج,النظافة,easy,clean,sticky condiment bottle,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1198,False
T132,الجداول الزجاج مليانه ابصام لاطفال,النظافة,easy,clean,kid handprints,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1204,False
T133,شفت فاره صغيره تطل من تحت الثلاجه,النظافة,easy,clean,mouse sighting,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1203,False
T135,صحون المازه مكسره من الاطراف,النظافة,medium,clean,chipped dishes (hygiene risk),عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1199,False
T139,لقيت حجر صغير في كوب الرز,النظافة,medium,clean,stone in rice,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1195,False
T142,الميز كله مغطى ببقايا توابل من قبل,النظافة,easy,clean,spice residue,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1204,False
T145,الخباز يلمس العجين بكفه بدون قفاز,النظافة,hard,clean,baker no gloves,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1203,False
T146,الفناجين متكدسه على رف بدون غطاء,النظافة,medium,clean,uncovered cup storage,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1203,False
T150,لاحظت قطع بلاستيك صغيره في طبق الفول,النظافة,hard,clean,plastic shards in food,عامة,,False,False,True,fail,clean: expected='النظافة' got='عامة' rail=[],1208,False
T467,Hygiene عندهم zero ما اقدر اوصف,النظافة,medium,mixed_dialect,english hygiene,عامة,,False,False,True,fail,mixed_dialect: expected='النظافة' got='عامة',1206,False
T051,الوجبه ب٧٠ ريال وحجمها مايسد جوع طفل,السعر والقيمة,easy,clean,expensive vs portion,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],791,False
T059,مشروب صغير ب١٨ ريال يعني سرقه,السعر والقيمة,easy,clean,drink overpriced,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],596,False
T060,العرض اللي في الانستقرام مو هو نفسه في الفرع,السعر والقيمة,medium,clean,ad-vs-reality price,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],611,False
T063,دفعت ٢٠٠ على ٣ ساندوتشات وما شبعنا,السعر والقيمة,easy,clean,high total + low value,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],601,False
T064,الباقي ما اعطوني اياه قالوا ما عندنا فكه,السعر والقيمة,medium,clean,no change given,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],607,False
T067,اللحم وحده ب٨٠ ريال ربع كيلو والباقي بصل,السعر والقيمة,medium,clean,expensive light entrée,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],794,False
T074,وجبة الاطفال ب٥٠ ريال وكل اللي فيها قطعتين,السعر والقيمة,easy,clean,kids meal overpriced,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],795,False
T075,نفس البرجر في فرع ثاني ب٢٥ هنا ب٤٥,السعر والقيمة,medium,clean,inconsistent pricing,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],789,False
T077,ضريبه القيمه طبقوها على وجبه مخفضه,السعر والقيمة,hard,clean,VAT on discounted price,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],787,False
T086,اشتركت في عروض البريميوم وما قدمت لي اي تخفيض,السعر والقيمة,medium,clean,premium membership useless,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],612,False
T088,اضافة الصلصه الاضافيه على البيتزا ب٧ ريال,السعر والقيمة,easy,clean,extra sauce price,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],797,False
T091,نقرشهم بحسبتهم القهوه ب٣٠ والمنيو ب٢٥,السعر والقيمة,medium,clean,explicit overcharge,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],604,False
T097,ضربوني بضريبة بقشيش ٢٠٪ بدون ما اطلب,السعر والقيمة,medium,clean,20% auto-gratuity,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],603,False
T100,الميمبرشب اللي اشتركت فيه ما يفعل العروض الموعوده,السعر والقيمة,medium,clean,membership broken promo,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='السعر والقيمة' got='جودة الطعام' rail=['جودة الطعام'],616,False
T472,Price too high لوجبه بسيطه,السعر والقيمة,medium,mixed_dialect,english price,جودة الطعام,جودة الطعام,False,False,False,fail,mixed_dialect: expected='السعر والقيمة' got='جودة الطعام',780,False
T102,الصحن فيه بقع من اكل سابق,النظافة,easy,clean,dish residue,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],777,False
T103,الكاسه على رفها لها بقع روج لشخص ثاني,النظافة,easy,clean,lipstick on glass,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],604,False
T112,الكنب مليان بقع طعام محنطه,النظافة,easy,clean,stained sofa,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],779,False
T117,شفت قطه ماشيه جوا المطعم تتمسح بالكراسي,النظافة,easy,clean,stray cat indoors,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],606,False
T120,الكوب جا فيه قطعه ليمون من زبون ثاني,النظافة,medium,clean,leftover lemon,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],603,False
T127,شفت اكل سايب على الطاوله من البارحه,النظافة,medium,clean,leftover food overnight,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],787,False
T128,الطعمه على الكنب من قبل ساعتين موجوده,النظافة,easy,clean,uncleared crumbs,جودة الطعام,جودة الطعام | وقت الانتظار,True,False,False,fail,"clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام', 'وقت الانتظار']",1499,False
T136,الفوط الورقيه على الطاوله مبلله من رائحة العفن,النظافة,medium,clean,moldy napkins,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],613,False
T138,صحن الاكل ينقط ماء طلع من غسيل ناقص,النظافة,medium,clean,dripping wet dish,جودة الطعام,جودة الطعام | دقة الطلب,True,False,False,fail,"clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام', 'دقة الطلب']",1511,False
T144,ريحة الزبد المتعفن طالعه من زاوية المطبخ,النظافة,medium,clean,rancid butter smell,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],607,False
T147,شفت لقم اكل تطيح من البفيه وترجع تنحط,النظافة,hard,clean,buffet pick-and-replace,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],789,False
T149,الكنب جلد متشقق وفي شقوقه قطع طعام,النظافة,medium,clean,torn sofa with food in cracks,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='النظافة' got='جودة الطعام' rail=['جودة الطعام'],787,False
T002,الاوردر تاخر بزياده والاكل وصل سايح,التوصيل,easy,clean,late delivery + soggy food,جودة الطعام,جودة الطعام,False,False,False,fail,clean: expected='التوصيل' got='جودة الطعام' rail=['جودة الطعام'],790,False
T013,الاكل وصلني بعد ساعه ونص وانا ساكن جنب الفرع,التوصيل,easy,clean,very late from nearby branch,جودة الطعام,جودة الطعام | وقت الانتظار,True,False,False,fail,"clean: expected='التوصيل' got='جودة الطعام' rail=['جودة الطعام', 'وقت الانتظار']",1503,False
