text,category,ambience_subtype,source,is_hard_negative,risk_keyword,contrast_group_id,quality_score,notes
المكان بارد والمكيف قوي ما نقدر نقعد,الجو والمكان,temperature_ac,ambience_synthetic,False,بارد,g001,5,ambience positive — place temp vs food temp
الاكل بارد لما وصل ما عجبني الطعم,جودة الطعام,,ambience_synthetic,True,بارد,g001,5,contrastive hard-negative — place temp vs food temp
المطعم حار والمكيف ما يبرد جلسنا نتعرق,الجو والمكان,temperature_ac,ambience_synthetic,False,حار,g002,5,ambience positive — place temp vs food spice
الشاورما حارة بزياده ما اقدر اكلها,جودة الطعام,,ambience_synthetic,True,حار,g002,5,contrastive hard-negative — place temp vs food spice
التكييف ضعيف والجو خانق,الجو والمكان,temperature_ac,ambience_synthetic,False,بارد,g003,5,ambience positive — AC vs cold drink
القهوة باردة ما لها طعم ابدا,جودة الطعام,,ambience_synthetic,True,بارد,g003,5,contrastive hard-negative — AC vs cold drink
المكيف بارد بزياده يثلج,الجو والمكان,temperature_ac,ambience_synthetic,False,بارد,g004,5,ambience positive — AC over-cold vs melted dessert
الايس كريم ذايب وحامض الطعم,جودة الطعام,,ambience_synthetic,True,بارد,g004,5,contrastive hard-negative — AC over-cold vs melted dessert
الفرع حار جدا الجو ما يطاق,الجو والمكان,temperature_ac,ambience_synthetic,False,حار,g005,5,ambience positive — place hot vs food over-fried
البرجر مقلي زياده ومحروق من برا,جودة الطعام,,ambience_synthetic,True,حار,g005,5,contrastive hard-negative — place hot vs food over-fried
المكيف خربان ودخلنا في حر فظيع,الجو والمكان,temperature_ac,ambience_synthetic,False,بارد,g006,5,ambience positive — broken AC vs cold soup
الشوربه طلعت بارده وما لها طعم,جودة الطعام,,ambience_synthetic,True,بارد,g006,5,contrastive hard-negative — broken AC vs cold soup
الجو في المطعم خانق ومالقينا تهويه,الجو والمكان,temperature_ac,ambience_synthetic,False,خانق,g007,5,ambience positive — stuffy place vs over-spiced food
الطلب جاء خانق بالبهارات وما اقدر اكله,جودة الطعام,,ambience_synthetic,True,خانق,g007,5,contrastive hard-negative — stuffy place vs over-spiced food
